player_id,role,fname,lname,name,mapped_role,position,f_pos
fc1608a2,Batter,George,Hankins,George Thomas Hankins,Batter,,Batter
9a4a1f78,Unknown,John,Beck,John Edward Francis Beck,,,
4ab6d138,Unknown,Lucy,Doolan,Lucy Rose Doolan,,,Allrounder
8a75e999,Batter,Babar,Azam,Mohammad Babar Azam,Batter,,Batter
b51d654f,Unknown,Anne,Bierwisch,Anne Bierwisch,,,Allrounder
4b349dc0,Unknown,Dharma,Kesuma,Dharma Kadek Kesuma,,,Allrounder
e66d962d,Bowler,Arsalan,Qadir,Arsalan Qadir,Bowler,,Bowler
ee866f8d,Unknown,Andy,Bisson,Andy Bisson,,,
bf1cddea,Allrounder,Karsan,Ghavri,Karsan Devjibhai Ghavri,Allrounder,,Allrounder
3d32289c,Bowler,John,Emburey,John Ernest Emburey,Bowler,,Bowler
d9f23e7c,Unknown,Katerina,Demetrova,Katerina Demetrova,,,
9565fda6,Batting allrounder,Amanjot,Kaur,Amanjot Bhupinder Kaur,Allrounder,,Allrounder
85e6ccde,Top-order batter,Babul,Kumar,Babul Pawan Kumar,Batter,,Batter
f9979b69,Unknown,Abid,Mushtaq,Abid Mushtaq Chaudhry,,Bowler,Bowler
aa732b6e,Unknown,Louis,Bhabra,Louis Robert Bhabra,,Batsman,Batter
1ae701d0,Unknown,Ajay,Rohera,Ajay Rajkumar Rohera,,,Allrounder
376557f7,Unknown,Ashok,Bishnoi,Ashok Bishnoi,,Bowler,Bowler
d4c9b75a,Unknown,Greg,Cork,Gregory Teodor Gerald Cork,,,Allrounder
0e102c3b,Unknown,Bryan,Zammitt,Bryan AA Zammitt,,,Allrounder
ff227198,Unknown,Gouher,Sultana,Gouher Sultana,,,Allrounder
770ae773,Unknown,Gabe,Bell,Gabe T Bell,,Bowler,Bowler
3e06e7ac,Unknown,Azyan,Farhath,Yoosuf Azyan Farhath,,,Allrounder
45d6354a,Unknown,Jackie,Mills,John Ernest Mills,,,
6b3f9bb7,Unknown,Kishen,Kamania,Kishen D Kamania,,,Allrounder
07c15419,Unknown,Amanda,Bolanos,Amanda Bolanos Martinez,,,Allrounder
bcaee32c,Bowler,Gabrielle,Sutcliffe,Gabrielle Joy Sutcliffe,Bowler,,Bowler
a127e6f5,Unknown,Shenjian,Zheng,Shenjian Zheng,,,Allrounder
1f490b28,Bowler,Akshay,Puri,Akshay Roopak Puri,Bowler,,Bowler
fc1deb2b,Unknown,Sitesh,Das,Sitesh Kumar Das,,,Allrounder
16043342,Allrounder,Andrew,McDonald,Andrew Barry McDonald,Allrounder,,Allrounder
e0c5125f,Unknown,Anish,Shah,Anish Zunev Shah,,,Allrounder
2bbab579,Middle-order batter,Arpit,Vasavada,Arpit Vyomahesh Vasavada,Batter,,Batter
fbb657bb,Batter,Babar,Hayat,Babar Hayat,Batter,,Batter
678a8133,Unknown,Liam,Dudding,Liam Raymond Dudding,,Bowler,Bowler
3c1137ba,Wicketkeeper,Babar,Hussain,Babar Hussain,Wicketkeeper,,Wicketkeeper
